종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
170900,동아에스티,74300,300,0.41,KOSPI,의약품,6.274E+11,3212,23.13,76043,0.98,1000,1.35
64260,다날,9080,30,0.33,KOSDAQ,디지털컨텐츠,6.26057E+11,264,34.39,3368,2.7,0,0
108670,LX하우시스,69700,-400,-0.57,KOSPI,화학,6.25047E+11,NA,NA,83775,0.83,300,0.43
3070,코오롱글로벌,24700,-550,-2.18,KOSPI,건설업,6.22698E+11,3249,7.6,18560,1.33,400,1.62
86390,유니테스트,29450,350,1.2,KOSDAQ,반도체,6.224E+11,82,359.15,7301,4.03,0,0
90460,비에이치,18450,-250,-1.34,KOSDAQ,IT부품,6.2163E+11,848,21.76,9470,1.95,250,1.36
298040,효성중공업,66500,-500,-0.75,KOSPI,전기전자,6.20082E+11,NA,NA,94759,0.7,0,0
2240,고려제강,26850,-250,-0.92,KOSPI,철강금속,6.18E+11,366,73.36,59061,0.45,300,1.12
3230,삼양식품,81500,-1700,-2.04,KOSPI,음식료품,6.13941E+11,8922,9.13,45470,1.79,800,0.98
286940,롯데정보통신,39700,-300,-0.75,KOSPI,서비스업,6.11234E+11,1975,20.1,26847,1.48,700,1.76
43150,바텍,40850,-100,-0.24,KOSDAQ,의료·정밀기기,6.06796E+11,NA,NA,14979,2.73,100,0.24
330860,네패스아크,49450,-1350,-2.66,KOSDAQ,반도체,6.02501E+11,NA,NA,13343,3.71,0,0
377030,맥스트,70200,-2200,-3.04,KOSDAQ,소프트웨어,5.99683E+11,NA,NA,597,117.59,0,0
7340,디티알오토모티브,60000,100,0.17,KOSPI,전기전자,5.9964E+11,5317,11.28,62666,0.96,2000,3.33
47820,초록뱀미디어,3280,-20,-0.61,KOSDAQ,오락·문화,5.93256E+11,NA,NA,776,4.23,0,0
1390,KG케미칼,42700,1700,4.15,KOSPI,화학,5.92082E+11,3358,12.72,29370,1.45,400,0.94
84110,휴온스글로벌,49200,100,0.2,KOSDAQ,제약,5.9189E+11,3576,13.76,34320,1.43,400,0.81
206560,덱스터,23300,-1500,-6.05,KOSDAQ,오락·문화,5.90845E+11,NA,NA,2258,10.32,0,0
1720,신영증권,62500,-300,-0.48,KOSPI,증권,5.8664E+11,22418,2.79,81242,0.77,4000,6.4
205470,휴마시스,17050,200,1.19,KOSDAQ,제약,5.83516E+11,643,26.52,1423,11.98,0,0
41960,코미팜,9090,-140,-1.52,KOSDAQ,제약,5.8345E+11,NA,NA,1188,7.65,0,0
7570,일양약품,30550,-700,-2.24,KOSPI,의약품,5.83067E+11,597,51.17,10609,2.88,120,0.39
18250,애경산업,22000,-250,-1.12,KOSPI,화학,5.81019E+11,437,50.34,12610,1.74,200,0.91
319660,피에스케이,39350,-50,-0.13,KOSDAQ,반도체,5.81004E+11,1570,25.06,14723,2.67,300,0.76
400,롯데손해보험,1865,35,1.91,KOSPI,보험,5.78777E+11,NA,NA,3050,0.61,0,0
34830,한국토지신탁,2290,-45,-1.93,KOSPI,기타금융,5.782E+11,364,6.29,3641,0.63,90,3.93
230360,에코마케팅,17650,-200,-1.12,KOSDAQ,기타서비스,5.77738E+11,1635,10.8,4452,3.96,930,5.27
138490,코오롱플라스틱,15200,-550,-3.49,KOSPI,화학,5.78E+11,79,192.41,5217,2.91,0,0
1820,삼화콘덴서,55200,-1200,-2.13,KOSPI,전기전자,5.74E+11,2272,24.3,16709,3.3,300,0.54
63080,게임빌,87000,-1200,-1.36,KOSDAQ,디지털컨텐츠,5.73782E+11,3145,27.66,41770,2.08,0,0
68400,SK렌터카,12100,-350,-2.81,KOSPI,서비스업,5.72159E+11,494,24.49,9793,1.24,0,0
183490,엔지켐생명과학,68400,-1000,-1.44,KOSDAQ,제약,5.69864E+11,NA,NA,8076,8.47,0,0
225570,넷게임즈,19750,3900,24.61,KOSDAQ,디지털컨텐츠,5.69807E+11,916,21.56,2302,8.58,0,0
30610,교보증권,8770,-20,-0.23,KOSPI,증권,5.67009E+11,2091,4.19,19540,0.45,450,5.13
60150,인선이엔티,12100,-100,-0.82,KOSDAQ,기타서비스,5.6342E+11,885,13.67,6702,1.81,0,0
290510,코리아센터,7390,-110,-1.47,KOSDAQ,소프트웨어,5.63123E+11,460,16.07,2979,2.48,0,0
183190,아세아시멘트,143500,2000,1.41,KOSPI,비금속광물,5.59049E+11,6095,23.54,209052,0.69,1250,0.87
7690,국도화학,61900,-3700,-5.64,KOSPI,화학,5.57757E+11,4165,14.86,71901,0.86,1200,1.94
243070,휴온스,51200,-300,-0.58,KOSDAQ,제약,5.56015E+11,5138,9.96,21996,2.33,600,1.17
93050,LF,18900,-50,-0.26,KOSPI,섬유의복,5.53E+11,605,31.24,42186,0.45,500,2.65
8490,서흥,47750,100,0.21,KOSPI,화학,5.52425E+11,4766,10.02,29221,1.63,450,0.94
61970,엘비세미콘,12600,-200,-1.56,KOSDAQ,반도체,5.51686E+11,618,20.39,3977,3.17,50,0.4
